Tweets_name,Tweets_url,Tweets_twitterhandle,Tweets_twitterhandle_url,Tweets_tweet,Tweets_replies,Tweets_retweets,Tweets_likes,Tweets_Dateoftweet,Tweets_Dateoftweet_url,Tweets_Verified,Tweets_Verified_url
taran adarsh,https://twitter.com/taran_adarsh,taran_adarsh,https://twitter.com/taran_adarsh,#BadrinathKiDulhania continues to dominate... Enjoys a SUPER-STRONG Weekend 2... Collects ₹ 17.56 cr... First SUPER HIT of 2017...,"Reply
55","Retweet
328","Like
1.4K",20 Mar 2017,https://twitter.com/taran_adarsh/status/843724026824470528,Verified account,https://twitter.com/taran_adarsh
taran adarsh,https://twitter.com/taran_adarsh,taran_adarsh,https://twitter.com/taran_adarsh,#BadrinathKiDulhania will hit a century today [Thu]... Will enter/cross ₹ 100 cr on Day 14... India biz... SUPER HIT.,"Reply
37","Retweet
372","Like
1.8K",23 Mar 2017,https://twitter.com/taran_adarsh/status/844815386952425472,Verified account,https://twitter.com/taran_adarsh
taran adarsh,https://twitter.com/taran_adarsh,taran_adarsh,https://twitter.com/taran_adarsh,"#BadrinathKiDulhania inches closer to ₹ 100 cr... [Week 2] Fri 4.21 cr, Sat 5.90 cr, Sun 7.45 cr, Mon 2.72 cr. Total: ₹ 93.94 cr. India biz.","Reply
33","Retweet
350","Like
1.6K",20 Mar 2017,https://twitter.com/taran_adarsh/status/844078617323696128,Verified account,https://twitter.com/taran_adarsh
taran adarsh,https://twitter.com/taran_adarsh,taran_adarsh,https://twitter.com/taran_adarsh,#BadrinathKiDulhania - OVERSEAS - Total after Weekend 2: $ 4.72 million [₹ 30.87 cr]. VERY GOOD!,"Reply
21","Retweet
200","Like
1.1K",20 Mar 2017,https://twitter.com/taran_adarsh/status/843765798472581121,Verified account,https://twitter.com/taran_adarsh
taran adarsh,https://twitter.com/taran_adarsh,taran_adarsh,https://twitter.com/taran_adarsh,2017 has begun on a buoyant note for Fox Star India. #JollyLLB2 and #BadrinathKiDulhania emerge success. #Phillauri could be a hat trick...,"Reply
24","Retweet
284","Like
1.4K",22 Mar 2017,https://twitter.com/taran_adarsh/status/844478583191982080,Verified account,https://twitter.com/taran_adarsh
Nakuul Mehta,https://twitter.com/NakuulMehta,NakuulMehta,https://twitter.com/NakuulMehta,Loved #BadrinathKiDulhania ! So proud of you @ShashankKhaitan . @Varun_dvn at his earnest & endearing best. So much fun to watch.,"Reply
51","Retweet
236","Like
1.3K",21 Mar 2017,https://twitter.com/NakuulMehta/status/844273076590329860,Verified account,https://twitter.com/NakuulMehta
Varun Dhawan,https://twitter.com/Varun_dvn,Varun_dvn,https://twitter.com/Varun_dvn,Thank you so much for all the lovely messages for #BadrinathKiDulhania . Let's do #varunsays today.,"Reply
319","Retweet
630","Like
4.0K",19 Mar 2017,https://twitter.com/Varun_dvn/status/843669178083131392,Verified account,https://twitter.com/Varun_dvn
ExSecular #IndiaTakesRevenge,https://twitter.com/ExSecular,ExSecular,https://twitter.com/ExSecular,Long time no movie review from @ArvindKejriwal ... how is #BadrinathKiDulhania sir Ji?,"Reply
15","Retweet
33","Like
98",19 Mar 2017,https://twitter.com/ExSecular/status/843440081088143360,,
Subarna talukder,https://twitter.com/Subarnapsycho,Subarnapsycho,https://twitter.com/Subarnapsycho,@Varun_dvn just watched #badrinathkidulhania. I m big fan of alia but I watched u only.u were incredible! Love u,Reply,"Retweet
40","Like
154",19 Mar 2017,https://twitter.com/Subarnapsycho/status/843549498630721541,,
Rohit Jaiswal,https://twitter.com/rohitjswl01,rohitjswl01,https://twitter.com/rohitjswl01,"CONGRATULATIONS @Varun_dvn @aliaa08 @karanjohar @apoorvamehta18 @ShashankKhaitan #BadrinathKiDulhania ENTERS 100CR CLUB
LT- 115 SUPERHIT","Reply
8","Retweet
52","Like
124",23 Mar 2017,https://twitter.com/rohitjswl01/status/844916500586745857,Verified account,https://twitter.com/rohitjswl01
mileyrq,https://twitter.com/mileyrq,mileyrq,https://twitter.com/mileyrq,Watched #BadrinathKiDulhania amazing movie.. These kind of people does exist in up.. #fuckdowry love u @Varun_dvn amazing actor. #Loveyou .,"Reply
1","Retweet
41","Like
119",23 Mar 2017,https://twitter.com/mileyrq/status/844959538751008768,,
Indian Boxoffice,https://twitter.com/TradeBOC,TradeBOC,https://twitter.com/TradeBOC,#BadrinathKiDulhania becomes the biggest hit film for #varunDhawan in his career and also biggest hit of this year so far,"Reply
8","Retweet
47","Like
104",22 Mar 2017,https://twitter.com/TradeBOC/status/844721854237564928,,
