Movie Name,Revenue Earned,Budget,Tweet Rate,Polarity Ratio,NumberofTheatre,NumberofReplies,Numberofretweets,NumberofLikes,NumberofVerifiedUsers,AverageTicketPrice,ActorRating,CBFCRating,Verdict,Verdict,,
Tiger Zinda Hai,3437312000,2100000000,28.64285714,3.61,4600,3189,48964,160047,278,139.99,38,UA,Hit,1.636815238,,
Baahubali 2,3888398000,1950000000,29.71428571,2.92,3950,7724,95722,353656,239,134.99,45,UA,Hit,1.994050256,,
Golmaal Again,2063279000,1420000000,23.21428571,4.08,3300,6898,43326,229438,219,133.11,38,UA,Hit,1.45301338,,
Tubelight,1788984000,1350000000,29.5,1.88,4400,8486,86634,207832,192,135.12,27,U,Hit,1.325173333,,
Jagga Jasoos,698684000,1310000000,29.5,4,1750,4092,29650,84818,209,139.34,26,UA,Flop,0.533346565,,
Raees,2046800000,1270000000,29.64285714,2.67,3400,5716,79745,157529,239,128.17,61,A,Hit,1.611653543,,
Jab Harry Met Sejal,1289739000,1190000000,26.21428571,2.61,3200,8360,87658,190348,252,144.37,30,UA,Hit,1.083814286,,
Baadshaho,817967000,900000000,14.42857143,8.64,2850,3996,23377,75697,119,123.41,15.3,UA,Flop,0.908852222,,
Kaabil,1037948000,890000000,29.71428571,3.85,2550,7412,57049,123680,213,131.78,55,UA,Hit,1.166233708,,
Jolly LLB 2,1251412000,830000000,23.78571429,6.43,3300,8415,55128,143692,227,128.36,55,UA,Hit,1.507725301,,
Toilet Ek Prem Katha,1386547000,750000000,25.71428571,6.67,2950,9440,68177,234428,249,127.96,36,UA,Hit,1.848729333,,
A Gentleman - Sundar Susheel Risky,300431000,670000000,11.35714286,3.18,1900,6842,17127,68350,72,144.58,22,UA,Flop,0.448404478,,
Mubarakan,586925000,650000000,9,4.88,2300,4140,13577,114872,99,136.74,19.8,UA,Flop,0.902961538,,
Judwaa 2,1473650000,630000000,23.92857143,3.93,3500,9597,49936,329304,259,130.56,38,UA,Hit,2.339126984,,
Rangoon,366487500,610000000,12.71428571,2.48,2100,3280,13406,41818,86,140.72,15,UA,Flop,0.60079918,,
Half Girlfriend,710045500,580000000,18,5.12,2400,5032,19101,93179,147,131.47,30,UA,Hit,1.224216379,,
Raabta ,302191000,470000000,10.64285714,4.17,1800,1201,5590,27572,89,138.74,16.9,UA,Flop,0.642959574,,
Secret Superstar,741943000,450000000,7,6.36,1750,436,4669,18999,39,159.23,29,UA,Hit,1.648762222,,
Badrinath Ki Dulhania,1240573000,440000000,19.78571429,7,2800,6712,33191,149554,190,129.06,43,UA,Hit,2.819484091,,
Munna Michael,476052500,410000000,7.857142857,3.69,2900,2187,6496,39903,65,123.75,10,UA,Hit,1.161103659,,
Firangi,154028000,400000000,6,7.85,1550,2182,7843,56467,44,127.78,6,UA,Flop,0.38507,,
Sachin - A Billion Dreams,527010000,390000000,16.92857143,9.12,1950,8539,59966,167902,151,124.78,30,U,Hit,1.351307692,,
Sarkar 3,192730000,360000000,6,1.87,1450,1228,3715,24560,51,108.39,31,UA,Flop,0.535361111,,
Naam Shabana,421560000,330000000,11.07142857,6.25,2000,4191,15343,60008,107,136.86,6,UA,Hit,1.277454545,,
Bhoomi,141200000,310000000,4.857142857,3.18,2000,1257,2505,19408,47,127.03,8.4,UA,Flop,0.455483871,,
Lucknow Central,165036000,300000000,7.357142857,8.5,1250,1112,3506,31578,58,139.01,14,UA,Flop,0.55012,,
Fukrey Returns,696333000,290000000,6.071428571,9,1500,2039,8903,68588,68,134.19,24,UA,Hit,2.401148276,,
Ittefaq,367670000,290000000,13.28571429,3.33,1100,5163,35114,152679,147,152.58,18,UA,Hit,1.267827586,,
Phillauri,390396000,290000000,15.14285714,11.29,1500,4538,19918,117788,142,138.24,27,UA,Hit,1.346193103,,
Simran,230599000,280000000,9.857142857,4.18,1550,1255,5455,26455,76,143.56,13,UA,Flop,0.823567857,,
